,cod_mod_anexo,ece_imputado,ind_leng_prim_imp,ind_mate_prim_imp
9566,06703800,1,0.2857143,0.2857143
9567,06703980,1,0.516129,0.58064514
9568,06704060,1,0.0,0.125
9569,06704220,1,0.85714287,0.78571427
9570,06704300,1,0.8,1.0
9571,06704480,1,0.5555556,0.0
9572,06704630,1,0.6428572,0.64285713
9573,06704710,1,0.6363636,0.54545456
9574,06704970,1,0.2,0.4
9575,06705050,1,0.6923077,0.61538464
9576,06705470,1,0.6923077,0.61538464
9577,06705620,1,0.875,0.625
9578,06705700,1,0.5,0.5
9579,06705880,1,0.5714286,0.71428573
9580,06706200,1,0.8,0.6
9581,06706380,1,0.2857143,0.2857143
9582,06706530,1,0.22222222,0.0
9583,06706610,1,0.8571429,0.42857143
9584,06706790,1,0.8888889,0.8888889
9585,06706870,1,0.94736844,0.84210527
9586,06707030,1,0.8,0.2
9587,06707110,1,0.875,0.875
9588,06707290,1,0.90909094,1.0
9589,06707370,1,0.7368421,0.5263158
9590,06707450,1,0.90909094,1.0
9591,06707520,1,0.36363637,0.09090909
9592,06707780,1,0.29032257,0.2580645
9593,06707860,1,0.5,0.875
9594,06712630,1,0.5833334,0.25
9595,06712970,1,0.9583334,0.9583333
9596,06713130,1,0.5,0.1
9597,06713210,1,0.3,0.05
9598,06713540,1,0.7777778,0.6666667
9599,06713620,1,1.0,0.6666667
9600,06713700,1,0.71428573,0.42857143
9601,06714040,1,0.65625,0.5625
9602,06717500,1,0.33333334,0.16666667
9603,06719170,1,1.0,0.36363637
9604,06719250,1,0.54901963,0.21568628
9605,06719580,1,0.4,0.2
9606,06719660,1,0.84615386,0.53846157
9607,06719740,1,0.6956521,0.65217394
9608,06720060,1,0.2857143,0.2857143
9609,06720140,1,0.6,0.4
9610,06720220,1,0.33333334,0.33333334
9611,06721050,1,0.5121951,0.29268292
9612,06721540,1,0.7567568,0.9054054
9613,06721620,1,0.7567568,0.9054054
9614,06721700,1,0.75,0.875
9615,06721880,1,0.33333334,0.16666667
9616,06721960,1,0.75,0.375
9617,06722040,1,0.42857143,0.14285715
9618,06722120,1,0.6,0.4
9619,06723860,1,0.3846154,0.30769232
9620,06724440,1,0.5,0.5
9621,06724510,1,0.25,0.25
9622,06724770,1,0.5,0.5
9623,06725010,1,0.6315789,0.3157895
9624,06725190,1,0.9230769,0.84615386
9625,06725270,1,0.6315789,0.3157895
9626,06725500,1,1.0,1.0
9627,06725680,1,1.0,1.0
